date,year,rank,anomaly_count,anomaly_types,severity_score,total_score
2020-03-12,2020,1,2,VIX異常 + 價格異常,13.7,17.7
2020-03-09,2020,2,3,VIX異常 + 價格異常 + 情緒異常,9.12,15.12
2020-03-16,2020,3,2,VIX異常 + 價格異常,10.57,14.57
2020-06-11,2020,4,2,VIX異常 + 價格異常,6.86,10.86
2020-02-27,2020,5,2,VIX異常 + 價格異常,5.59,9.59
2020-02-24,2020,6,2,VIX異常 + 價格異常,4.91,8.91
2020-03-24,2020,7,1,價格異常,6.88,8.88
2020-09-03,2020,8,2,VIX異常 + 價格異常,4.58,8.58
2020-03-13,2020,9,1,價格異常,6.49,8.49
2020-11-06,2020,10,2,價格異常 + 情緒異常,4.04,8.04
2021-11-26,2021,1,3,VIX異常 + 價格異常 + 情緒異常,6.28,12.28
2021-01-22,2021,2,2,價格異常 + 情緒異常,5.84,9.84
2021-05-12,2021,3,2,VIX異常 + 價格異常,5.54,9.54
2021-01-28,2021,4,2,價格異常 + 情緒異常,5.37,9.37
2021-01-27,2021,5,2,VIX異常 + 價格異常,5.19,9.19
2021-03-01,2021,6,2,價格異常 + 情緒異常,4.77,8.77
2021-05-19,2021,7,1,價格異常,6.42,8.42
2021-05-05,2021,8,2,價格異常 + 情緒異常,4.35,8.35
2021-05-20,2021,9,2,價格異常 + 情緒異常,4.35,8.35
2021-09-20,2021,10,2,VIX異常 + 價格異常,4.16,8.16
2022-06-13,2022,1,2,VIX異常 + 價格異常,6.19,10.19
2022-05-05,2022,2,2,VIX異常 + 價格異常,4.35,8.35
2022-04-26,2022,3,2,VIX異常 + 價格異常,3.62,7.62
2022-04-22,2022,4,2,VIX異常 + 價格異常,3.37,7.37
2022-11-10,2022,5,1,價格異常,4.57,6.57
2022-11-09,2022,6,1,價格異常,4.55,6.55
2022-02-28,2022,7,1,價格異常,4.5,6.5
2022-07-18,2022,8,1,價格異常,4.14,6.14
2022-02-04,2022,9,1,價格異常,3.61,5.61
2022-11-08,2022,10,1,價格異常,3.57,5.57
2023-03-13,2023,1,2,價格異常 + 情緒異常,4.42,8.42
2023-10-23,2023,2,1,價格異常,3.18,5.18
2023-03-17,2023,3,1,價格異常,2.91,4.91
2023-02-15,2023,4,1,價格異常,2.89,4.89
2023-11-09,2023,5,1,價格異常,2.81,4.81
2023-01-20,2023,6,1,價格異常,2.31,4.31
2023-08-17,2023,7,1,價格異常,2.28,4.28
2023-03-12,2023,8,1,價格異常,2.27,4.27
2023-02-02,2023,9,1,價格異常,2.2,4.2
2023-11-15,2023,10,1,價格異常,2.01,4.01
2024-12-18,2024,1,2,VIX異常 + 價格異常,6.03,10.03
2024-08-05,2024,2,2,VIX異常 + 價格異常,5.64,9.64
2024-07-15,2024,3,2,價格異常 + 情緒異常,3.95,7.95
2024-07-24,2024,4,2,VIX異常 + 價格異常,3.43,7.43
2024-05-20,2024,5,1,價格異常,4.45,6.45
2024-08-08,2024,6,1,價格異常,3.75,5.75
2024-11-11,2024,7,1,價格異常,3.15,5.15
2024-03-20,2024,8,1,價格異常,2.98,4.98
2024-02-28,2024,9,1,價格異常,2.92,4.92
2024-11-06,2024,10,1,價格異常,2.86,4.86
2025-04-03,2025,1,3,VIX異常 + 價格異常 + 情緒異常,7.7,13.7
2025-04-10,2025,2,3,VIX異常 + 價格異常 + 情緒異常,6.56,12.56
2025-04-04,2025,3,2,VIX異常 + 價格異常,7.07,11.07
2025-04-09,2025,4,1,價格異常,7.98,9.98
2025-10-10,2025,5,2,VIX異常 + 價格異常,4.46,8.46
2025-11-04,2025,6,2,價格異常 + 情緒異常,4.17,8.17
2025-05-08,2025,7,1,價格異常,5.04,7.04
2025-10-11,2025,8,1,情緒異常,3.7,5.7
2025-03-03,2025,9,1,價格異常,3.53,5.53
2025-08-22,2025,10,1,價格異常,3.31,5.31
